Food_Name,VitaminC_mg,Potassium_mg,Carbohydrate_g,Calcium_mg,Zinc_mg,VitaminB6_mg,Protein_g,Cholesterol_mg,Energy_kcal,Riboflavin_mg,Thiamin_mg,Iron_mg,Folate_mcg,VitaminE_mg,Niacin_mg,VitaminD_mcg,VitaminB12_mcg,Fat_g,VitaminK_mcg,Magnesium_mg,Fiber_g,Sodium_mg,VitaminA_mcgRAE,Sugars_g,Food_Category,nutriscore_grade,diet_type,meal_type
Protein Salsa Verde Tortilla Chips,0.0,0.0,-0.003911223481421,0.0,0.0,0.0,-0.0023508819748291,-0.0335274774927566,-0.0035125055240499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003765723056581,0.0,0.0,0.098367077384419,-0.0039538827853757,0.0,-0.0410534849919639,0,a,vegan,"lunch,dinner"
Protein Shake,0.0,0.0,-0.004415753098155829,0.0,0.0,0.0,-0.003408410572602643,-0.004391364481204357,-0.004346584752237086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004095199733465443,0.0,0.0,-0.008665045330612029,-0.003955197961841086,0.0,-0.06350248530007614,0,a,vegan,"lunch,dinner"
Protein Shake (Strawberry),0.0,0.0,-0.0045226701356838,0.0,0.0,0.0,-0.0040114004707966,-0.0181860053789148,-0.004504676132029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041104224304904,0.0,0.0,-0.0351620697785507,-0.0039554444418245,0.0,-0.0842317390352192,0,a,vegan,"lunch,dinner"
Protein Shake - Chocolate,0.0,0.0,-0.0045100070392938,0.0,0.0,0.0,-0.0040114004707966,-0.0181860053789148,-0.0045099818572054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041156451482769,0.0,0.0,-0.0288571522059315,-0.0039554792447381,0.0,-0.0842317390352192,0,a,vegan,"lunch,dinner"
Protein Shake Chocolate,0.0,0.0,-0.004490615718298101,0.0,0.0,0.0,-0.0039769570643087,-0.0146328561682711,-0.004495004728181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041142379379893665,0.0,0.0,-0.027233766856500464,-0.0039554425047263,0.0,-0.08272667826730656,0,a,vegan,"lunch,dinner"
Protein Shake Mix Chocolate Flavor,0.0,0.0,-0.0039944381148414,0.0,0.0,0.0,-0.0016257188341851,-0.0335274774927566,-0.0037740019791704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040059680747603,0.0,0.0,0.1449784322962825,-0.0039549061938849,0.0,0.0185325055877287,0,a,vegan,"lunch,dinner"
Protein Shake Raspberry Yogurt Flavor,0.0,0.0,-0.0043431074288728,0.0,0.0,0.0,-0.0004451532412166,-0.0335274774927566,-0.0037717008103654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040396023773053,0.0,0.0,0.0616373297138711,-0.0039556280550358,0.0,-0.0625938205865227,0,a,vegetarian,"lunch,dinner"
Protein Shake Strawberry,0.0,0.0,-0.0045226701356838,0.0,0.0,0.0,-0.0040114004707966,-0.0181860053789148,-0.004504676132029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041104224304904,0.0,0.0,-0.0351620697785507,-0.0039554444418245,0.0,-0.0857429779267332,0,a,vegan,"lunch,dinner"
Protein Shake Vanilla,0.0,0.0,-0.00450720094469465,0.0,0.0,0.0,-0.0040115040866771,-0.0169111506539617,-0.0045051394488754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041111506686043,0.0,0.0,-0.0291235571737887,-0.00395545317686565,0.0,-0.0841061572118399,0,a,vegan,"lunch,dinner"
Protein Shake XD,0.0,0.0,-0.0044269877793605,0.0,0.0,0.0,-0.0001405847221461,-0.0335274774927566,-0.0037541282485813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040165388555601,0.0,0.0,0.0146530839627132,-0.0039529235971912,0.0,-0.0582142502789153,0,a,vegan,"lunch,dinner"
